Timestamp,What is your primary mode of transportation on campus (not to/from campus)?,"If you use micro-mobility vehicles on campus at all, how many days a week do you use micro-mobility vehicles on campus?","When on campus using your primary mode of transportation, how often do you use lanes/zones/spaces dedicated to your primary mode of transportation*? 

*Such as sidewalks for walking, roads for motorized vehicles, bike lanes for bicycles, etc.",How would you rate your feelings of safety when you are in a lane/zone/space on campus that is shared with pedestrians and micro-mobility riders?,Which response best describes your feelings of safety when you are on-the-go and there is no designated space for your mode of transportation?,"To what extent do you agree or disagree with the following statement? 

""I feel unsafe when individuals use micro-mobility vehicles in pedestrian-only zones (ex: walk-only zones, sidewalks).”","To what extent do you agree or disagree with the following statement? 

""Other people operate micro-mobility vehicles safely on campus.”","In your opinion, what is the best way to ensure safe operation of micro-mobility vehicles around pedestrians on campus?","Thinking about your experiences either as a pedestrian or a micro-mobility rider, please tell us how you feel about micro-mobility devices on campus."
9/22/2023 19:46:00,Walking and/or wheelchair,I do not use micro-mobility vehicles on campus.,I never use zones dedicated to my mode of transportation on campus.,I feel unsafe,Not applicable (N/A),Agree,Disagree,Stricter enforcement on staying in designated areas,I saw someone once get slammed into by a micro-mobility device on campus and that scared me! 
9/22/2023 19:48:29,"Motorized micro-mobility vehicles (e.g. electric scooters, electric skateboards, e-bikes, etc.)",I use micro-mobility vehicles more than 4 days per week.,I always use zones dedicated to my mode of transportation on campus.,Not applicable (N/A),Not applicable (N/A),Disagree,Neither disagree nor agree,"The best way is when both pedestrian and drivers respect the designated laws and rules that are applicable to them and not break or put someone in danger (e.g. jaywalking, not walking on the sideway, steeping away from bus stops, etc.)",I do not have further commentary given that I have not had this topic affect me. 
9/22/2023 20:17:51,Walking and/or wheelchair,I do not use micro-mobility vehicles on campus.,I rarely use zones dedicated to my mode of transportation on campus.,I feel safe,I feel safe,Neither disagree nor agree,Neither disagree nor agree,Specific lanes,More strict laws 
9/22/2023 21:12:54,Walking and/or wheelchair,I use micro-mobility vehicles 1-3 days per week.,I often use zones dedicated to my mode of transportation on campus.,I feel unsafe,I feel neither unsafe nor safe,Agree,Disagree,Spreading awareness about right-of-way.,"When I'm walking, I feel like some people with electric scooters, specifically, will cut people off a lot. As an occasional skateboarder, and observing other skateboarders, I feel like they are more respectful (maybe because a skateboard simply can't maneuver like a scooter)."
9/22/2023 22:45:37,Walking and/or wheelchair,I do not use micro-mobility vehicles on campus.,I always use zones dedicated to my mode of transportation on campus.,I feel unsafe,I feel unsafe,Strongly agree,Strongly disagree,Ban them,I hate them
9/23/2023 0:14:02,Walking and/or wheelchair,I do not use micro-mobility vehicles on campus.,I never use zones dedicated to my mode of transportation on campus.,I feel safe,I feel unsafe,Agree,Agree,E Bike,No
9/23/2023 1:01:47,"Motorized micro-mobility vehicles (e.g. electric scooters, electric skateboards, e-bikes, etc.)",I use micro-mobility vehicles more than 4 days per week.,I often use zones dedicated to my mode of transportation on campus.,I feel safe,I feel very unsafe,Agree,Agree,dedicated lanes,need to be more accessible
9/23/2023 9:11:09,Walking and/or wheelchair,I do not use micro-mobility vehicles on campus.,I sometimes use zones dedicated to my mode of transportation on campus.,I feel safe,I feel safe,Agree,Neither disagree nor agree,More clearly designated lanes for micro-mobility vehicles,"I see their value and use. So long as the riders drive responsibly (e.g. not speeding, using bells to notify people that they're near, etc), I don't see an issue."
9/23/2023 11:50:30,Walking and/or wheelchair,I do not use micro-mobility vehicles on campus.,I sometimes use zones dedicated to my mode of transportation on campus.,I feel neither unsafe nor safe,I feel neither unsafe nor safe,Strongly agree,Disagree,"Having speed limits strictly enforced, have dedicated lanes for vehicles ",I feel slightly unsafe while walking. I need to be vigilant about crossing vehicles 
9/23/2023 15:40:04,Walking and/or wheelchair,I do not use micro-mobility vehicles on campus.,I often use zones dedicated to my mode of transportation on campus.,I feel neither unsafe nor safe,I feel neither unsafe nor safe,Agree,Neither disagree nor agree,"Build better infrastructure which is specifically designed for scooter users and bike users. At the University of Washington, we used a really great path called the Burke Gillman Trail. This path was a circular path encircling UW, and it was a great solution for addressing safety / efficiency issues related to scooter people taking up pedestrian walkway space","I used to ride a scooter around Berkeley, but I stopped, because Berkeley doesn't have appropriate infrastructure for scooters. It is a hilly, bumpy, grassy land, with narrow pathways for walking. Riding a scooter around at a high velocity could endanger the people who are trying to walk around. I don't blame people for wanting to ride scooters - these devices are fast and convenient. However, Berkeley has really shit infrastructure for supporting scooter usage. I hope we can lobby for better infrastructure such that bikers and scooter users can more safely co-exist with walkers!!!"
9/23/2023 18:23:35,Walking and/or wheelchair,I do not use micro-mobility vehicles on campus.,I often use zones dedicated to my mode of transportation on campus.,I feel safe,I feel safe,Disagree,Agree,"Making sure pedestrians are given right of way, speed limit on micro-mobility vehicles",I do not have strong feelings on them and feel people can continue to use them if they so choose
9/24/2023 10:58:43,Walking and/or wheelchair,I do not use micro-mobility vehicles on campus.,I always use zones dedicated to my mode of transportation on campus.,I feel neither unsafe nor safe,I feel safe,Agree,Agree,Speed control,No strong opinions
9/24/2023 13:04:28,Walking and/or wheelchair,I do not use micro-mobility vehicles on campus.,I sometimes use zones dedicated to my mode of transportation on campus.,I feel very unsafe,I feel unsafe,Strongly agree,Disagree,strictly seperating micro-mobility vehicles around pedestrians,"as a pedestrian, micro-mobility is very dangerous since it doesn't have direction indicator"
9/24/2023 15:18:37,Walking and/or wheelchair,I do not use micro-mobility vehicles on campus.,I often use zones dedicated to my mode of transportation on campus.,I feel safe,I feel unsafe,Agree,Neither disagree nor agree,Use bike lane (if there is),"Sometimes they suddenly scare me when I'm walking. In general, it's not a big problem for me though. "
9/24/2023 16:09:11,Walking and/or wheelchair,I do not use micro-mobility vehicles on campus.,I never use zones dedicated to my mode of transportation on campus.,I feel safe,I feel safe,Disagree,Neither disagree nor agree,speed limit,"If there is rental one operated by school, that would be nice."
9/24/2023 17:32:02,Walking and/or wheelchair,I do not use micro-mobility vehicles on campus.,I sometimes use zones dedicated to my mode of transportation on campus.,I feel safe,Not applicable (N/A),Disagree,Agree,having wide walkways/sidewalks ,"as a person who doesn’t use one, there’s nothing wrong with having them on campus "
9/24/2023 18:09:11,Walking and/or wheelchair,I do not use micro-mobility vehicles on campus.,I always use zones dedicated to my mode of transportation on campus.,I feel unsafe,I feel very unsafe,Strongly agree,Strongly disagree,"Dedicated lane for micro-mobility for vehicles over speeds of 5 mph (aka, electric scooters, bicycles, electric bikes, golf carts)","I am against electric scootering as it seems like the drivers on it are reckless and go too high of a speed, weaving in between people. Very unsafe."
9/24/2023 20:32:14,Walking and/or wheelchair,I do not use micro-mobility vehicles on campus.,I always use zones dedicated to my mode of transportation on campus.,I feel very safe,Not applicable (N/A),Agree,Agree," Through a combination of awareness, infrastructure improvements and enforcement of safety rules.",I generally feel safe around them as a pedestrian but I feel like the campus can do a better job at spreading more awareness about their safety and by having dedicated lanes.
9/24/2023 20:53:47,Walking and/or wheelchair,I do not use micro-mobility vehicles on campus.,I always use zones dedicated to my mode of transportation on campus.,I feel safe,I feel unsafe,Neither disagree nor agree,Agree,Best way may be to suggest that pedestrians have right of way? Similar to when it comes to cars,I'm a pedestrian as I like to get my steps in! I feel fine having micro-mobility devices on campus. They help people get to their destinations more quickly. I feel these devices are not dangerous to others and riders have stopped or maneuvered well around pedestrians.
9/24/2023 22:24:21,Walking and/or wheelchair,I do not use micro-mobility vehicles on campus.,I never use zones dedicated to my mode of transportation on campus.,I feel unsafe,I feel neither unsafe nor safe,Neither disagree nor agree,Neither disagree nor agree,Dedicated lane for it ,During busy periods they can be hassle
9/25/2023 8:58:58,Walking and/or wheelchair,I do not use micro-mobility vehicles on campus.,I often use zones dedicated to my mode of transportation on campus.,I feel safe,I feel unsafe,Agree,Agree,using it at a slow speed,it is very convenient 
9/25/2023 9:43:09,"Motorized micro-mobility vehicles (e.g. electric scooters, electric skateboards, e-bikes, etc.)",I use micro-mobility vehicles more than 4 days per week.,I often use zones dedicated to my mode of transportation on campus.,I feel safe,I feel unsafe,Neither disagree nor agree,Disagree,"dedicated bike lanes, etc ",They're great if stupid people aren't operating them 
9/25/2023 12:51:09,Walking and/or wheelchair,I do not use micro-mobility vehicles on campus.,I never use zones dedicated to my mode of transportation on campus.,I feel unsafe,I feel unsafe,Agree,Agree,designated areas,some students are not careful and almost run people over
